"","term","type","estimate","std.error","statistic","p.value"
"1","intercept","summary",-0.212651510500831,0.0875678146642225,-2.42842089089741,0.015164733056399
"2","FunctionGroupreaction time","summary",-0.24901585865045,0.0756007521303477,-3.29382779447891,0.000988330281062505
"3","CentredPhe","summary",-0.000662213262377461,0.000366744913611309,-1.80565084286159,0.0709728955840534
"4","FunctionGroupreaction time:CentredPhe","summary",0.000993653591044956,0.000345254248058862,2.87803436635933,0.00400161543160717
