"","term","type","estimate","std.error","statistic","p.value"
"1","intercept","summary",-0.457637098091476,0.124633132043578,-3.67187352662743,0.00024077883871972
"2","FunctionGroupHigher Language Skills","summary",0.35260805543841,0.166478553360777,2.11803892045044,0.0341717716332182
"3","FunctionGroupInhibition","summary",0.36046475952679,0.183100568007807,1.96867089735856,0.0489908953431397
"4","FunctionGroupLanguage Accuracy","summary",0.454557763009606,0.180290184888922,2.52125629184784,0.0116936646491413
"5","FunctionGroupReasoning ","summary",-0.360783119948588,0.268563101360861,-1.34338305642298,0.179147970418042
"6","FunctionGroupSpelling","summary",0.544201472630131,0.261208554217525,2.08339835676645,0.0372149279325828
"7","FunctionGroupSustained attention","summary",-0.21622587707346,0.210725741100732,-1.02610092124482,0.304844016110065
