"","term","type","estimate","std.error","statistic","p.value"
"1","intercept","summary",-0.185705919278932,0.0800148813729703,-2.32089226519387,0.0202926591126817
"2","FunctionGroupreaction time","summary",-0.276926053813299,0.0803897496929139,-3.4447930845804,0.000571496691021669
