"","term","type","estimate","std.error","statistic","p.value"
"1","intercept","summary",-0.260373278430596,0.102272494284488,-2.54587785554858,0.0109003321943811
"2","FunctionGroupVisual","summary",-0.286575457019083,0.121147603116968,-2.36550661875162,0.0180054214501095
"3","CentredPhe","summary",-0.000221431797004449,0.000388980824779496,-0.569261472284587,0.569178708901209
"4","FunctionGroupVisual:CentredPhe","summary",-0.000129414827261274,0.000525716112541766,-0.246168652955244,0.805551680323066
