"","term","type","estimate","std.error","statistic","p.value"
"1","intercept","summary",-0.272910381138133,0.0952271517387827,-2.86588831184148,0.00415840928376884
"2","FunctionGroupVisual","summary",-0.269694101390128,0.116997651964072,-2.3051240504634,0.0211596268892857
