"","term","type","estimate","std.error","statistic","p.value"
"1","intercept","summary",-0.445497636179076,0.109042854639739,-4.08552800319592,4.39766959809631e-05
"2","FunctionGroupLanguage ","summary",0.823106038820766,0.26932109136603,3.05622569196446,0.00224142469007734
"3","CentredPhe","summary",-0.000961971215341876,0.000413403366368434,-2.32695544739359,0.0199676366162265
"4","FunctionGroupLanguage :CentredPhe","summary",0.00458530079545681,0.00233677856603447,1.96223162181691,0.0497355239546232
