"","term","type","estimate","std.error","statistic","p.value"
"1","intercept","summary",-0.382958112530224,0.109587433375759,-3.49454404335869,0.000474872250974974
"2","FunctionGroupHigher Language Skills","summary",0.291315145875077,0.160117073858774,1.81938839409482,0.0688521960946376
"3","FunctionGroupInhibition","summary",0.309469743156631,0.17735651322024,1.74490204807046,0.0810019208092782
"4","FunctionGroupLanguage Accuracy","summary",0.3688228503179,0.173381553458308,2.12723235523777,0.0334007820479824
"5","FunctionGroupReasoning ","summary",-0.433467066005033,0.258432007991827,-1.67729635881149,0.0934845442468436
"6","FunctionGroupSpelling","summary",0.456250024049454,0.254642701287289,1.79172629626918,0.073176820106697
"7","FunctionGroupSustained attention","summary",-0.275427448994621,0.192718653921309,-1.42916860091335,0.152955780053903
"8","CentredPhe","summary",-0.000956520409977894,0.000357325943111095,-2.67688486777604,0.00743101652339848
