"","term","type","estimate","std.error","statistic","p.value"
"1","intercept","summary",-0.455364538849297,0.148309640910896,-3.0703637069884,0.0021379824064351
"2","FunctionGroupVisuoSpatialRT","summary",-0.449133659908888,0.202226675831771,-2.22094171335989,0.0263549094579947
"3","CentredPhe","summary",0.00145666256697873,0.000816812488989815,1.78335001804422,0.0745293440348447
"4","FunctionGroupVisuoSpatialRT:CentredPhe","summary",-0.00234119982386331,0.00108853742844873,-2.15077567631253,0.0314939098609326
