"","term","type","estimate","std.error","statistic","p.value"
"1","intercept","summary",-0.391696206341088,0.0844820238942083,-4.63644439711323,3.54453485892353e-06
"2","CentredPhe","summary",-0.000215105247558348,0.000320318291505327,-0.671535948033023,0.501879166843476
